material,cfg_file_original,cfg_file_mapped,cfg_path_original,cfg_path_mapped,T_cfg,Tmin_logtau,Tmax_logtau,logtau,logtau_source,relax_file,mapped_file_exists,atom_cache_path
Zr46Cu46Al8,dumpZrCuAl.cooldown_760.cfg,Zr46Cu46Al8_760.0K.cfg,C:\Users\Admin\Downloads\cfg data\cfg_files_Zr46Cu46Al8\dumpZrCuAl.cooldown_760.cfg,C:\Users\Admin\Downloads\cfg data\mapped_cfg_and_metadata\mapped_cfg_Zr46Cu46Al8\Zr46Cu46Al8_760.0K.cfg,760.0,635.36667,1002.03333,-2.515194376031247,interpolated,C:\Users\Admin\Downloads\cfg data\relaxation_time_zr46cu46al8_Tg_716.2K.csv,True,C:\Users\Admin\Downloads\cfg data\nn_output\atom_cache\sample_0010.npy
Zr46Cu46Al8,dumpZrCuAl.cooldown_769.cfg,Zr46Cu46Al8_769.0K.cfg,C:\Users\Admin\Downloads\cfg data\cfg_files_Zr46Cu46Al8\dumpZrCuAl.cooldown_769.cfg,C:\Users\Admin\Downloads\cfg data\mapped_cfg_and_metadata\mapped_cfg_Zr46Cu46Al8\Zr46Cu46Al8_769.0K.cfg,769.0,635.36667,1002.03333,-3.2613619548560875,interpolated,C:\Users\Admin\Downloads\cfg data\relaxation_time_zr46cu46al8_Tg_716.2K.csv,True,C:\Users\Admin\Downloads\cfg data\nn_output\atom_cache\sample_0011.npy
Zr46Cu46Al8,dumpZrCuAl.cooldown_778.cfg,Zr46Cu46Al8_778.0K.cfg,C:\Users\Admin\Downloads\cfg data\cfg_files_Zr46Cu46Al8\dumpZrCuAl.cooldown_778.cfg,C:\Users\Admin\Downloads\cfg data\mapped_cfg_and_metadata\mapped_cfg_Zr46Cu46Al8\Zr46Cu46Al8_778.0K.cfg,778.0,635.36667,1002.03333,-3.954840705898587,interpolated,C:\Users\Admin\Downloads\cfg data\relaxation_time_zr46cu46al8_Tg_716.2K.csv,True,C:\Users\Admin\Downloads\cfg data\nn_output\atom_cache\sample_0012.npy
Zr46Cu46Al8,dumpZrCuAl.cooldown_784.cfg,Zr46Cu46Al8_784.0K.cfg,C:\Users\Admin\Downloads\cfg data\cfg_files_Zr46Cu46Al8\dumpZrCuAl.cooldown_784.cfg,C:\Users\Admin\Downloads\cfg data\mapped_cfg_and_metadata\mapped_cfg_Zr46Cu46Al8\Zr46Cu46Al8_784.0K.cfg,784.0,635.36667,1002.03333,-4.388977557764882,interpolated,C:\Users\Admin\Downloads\cfg data\relaxation_time_zr46cu46al8_Tg_716.2K.csv,True,C:\Users\Admin\Downloads\cfg data\nn_output\atom_cache\sample_0013.npy
Zr46Cu46Al8,dumpZrCuAl.cooldown_793.cfg,Zr46Cu46Al8_793.0K.cfg,C:\Users\Admin\Downloads\cfg data\cfg_files_Zr46Cu46Al8\dumpZrCuAl.cooldown_793.cfg,C:\Users\Admin\Downloads\cfg data\mapped_cfg_and_metadata\mapped_cfg_Zr46Cu46Al8\Zr46Cu46Al8_793.0K.cfg,793.0,635.36667,1002.03333,-5.002925492089014,interpolated,C:\Users\Admin\Downloads\cfg data\relaxation_time_zr46cu46al8_Tg_716.2K.csv,True,C:\Users\Admin\Downloads\cfg data\nn_output\atom_cache\sample_0014.npy
Zr46Cu46Al8,dumpZrCuAl.cooldown_806.cfg,Zr46Cu46Al8_806.0K.cfg,C:\Users\Admin\Downloads\cfg data\cfg_files_Zr46Cu46Al8\dumpZrCuAl.cooldown_806.cfg,C:\Users\Admin\Downloads\cfg data\mapped_cfg_and_metadata\mapped_cfg_Zr46Cu46Al8\Zr46Cu46Al8_806.0K.cfg,806.0,635.36667,1002.03333,-5.81576535256141,interpolated,C:\Users\Admin\Downloads\cfg data\relaxation_time_zr46cu46al8_Tg_716.2K.csv,True,C:\Users\Admin\Downloads\cfg data\nn_output\atom_cache\sample_0015.npy
Zr46Cu46Al8,dumpZrCuAl.cooldown_820.cfg,Zr46Cu46Al8_820.0K.cfg,C:\Users\Admin\Downloads\cfg data\cfg_files_Zr46Cu46Al8\dumpZrCuAl.cooldown_820.cfg,C:\Users\Admin\Downloads\cfg data\mapped_cfg_and_metadata\mapped_cfg_Zr46Cu46Al8\Zr46Cu46Al8_820.0K.cfg,820.0,635.36667,1002.03333,-6.602985461129077,interpolated,C:\Users\Admin\Downloads\cfg data\relaxation_time_zr46cu46al8_Tg_716.2K.csv,True,C:\Users\Admin\Downloads\cfg data\nn_output\atom_cache\sample_0016.npy
Zr46Cu46Al8,dumpZrCuAl.cooldown_840.cfg,Zr46Cu46Al8_840.0K.cfg,C:\Users\Admin\Downloads\cfg data\cfg_files_Zr46Cu46Al8\dumpZrCuAl.cooldown_840.cfg,C:\Users\Admin\Downloads\cfg data\mapped_cfg_and_metadata\mapped_cfg_Zr46Cu46Al8\Zr46Cu46Al8_840.0K.cfg,840.0,635.36667,1002.03333,-7.589226681346637,interpolated,C:\Users\Admin\Downloads\cfg data\relaxation_time_zr46cu46al8_Tg_716.2K.csv,True,C:\Users\Admin\Downloads\cfg data\nn_output\atom_cache\sample_0017.npy
Zr46Cu46Al8,dumpZrCuAl.cooldown_843.cfg,Zr46Cu46Al8_843.0K.cfg,C:\Users\Admin\Downloads\cfg data\cfg_files_Zr46Cu46Al8\dumpZrCuAl.cooldown_843.cfg,C:\Users\Admin\Downloads\cfg data\mapped_cfg_and_metadata\mapped_cfg_Zr46Cu46Al8\Zr46Cu46Al8_843.0K.cfg,843.0,635.36667,1002.03333,-7.724457862504274,interpolated,C:\Users\Admin\Downloads\cfg data\relaxation_time_zr46cu46al8_Tg_716.2K.csv,True,C:\Users\Admin\Downloads\cfg data\nn_output\atom_cache\sample_0018.npy
Zr46Cu46Al8,dumpZrCuAl.cooldown_861.cfg,Zr46Cu46Al8_861.0K.cfg,C:\Users\Admin\Downloads\cfg data\cfg_files_Zr46Cu46Al8\dumpZrCuAl.cooldown_861.cfg,C:\Users\Admin\Downloads\cfg data\mapped_cfg_and_metadata\mapped_cfg_Zr46Cu46Al8\Zr46Cu46Al8_861.0K.cfg,861.0,635.36667,1002.03333,-8.474475568982276,interpolated,C:\Users\Admin\Downloads\cfg data\relaxation_time_zr46cu46al8_Tg_716.2K.csv,True,C:\Users\Admin\Downloads\cfg data\nn_output\atom_cache\sample_0019.npy
Zr46Cu46Al8,dumpZrCuAl.cooldown_879.cfg,Zr46Cu46Al8_879.0K.cfg,C:\Users\Admin\Downloads\cfg data\cfg_files_Zr46Cu46Al8\dumpZrCuAl.cooldown_879.cfg,C:\Users\Admin\Downloads\cfg data\mapped_cfg_and_metadata\mapped_cfg_Zr46Cu46Al8\Zr46Cu46Al8_879.0K.cfg,879.0,635.36667,1002.03333,-9.12344618016764,interpolated,C:\Users\Admin\Downloads\cfg data\relaxation_time_zr46cu46al8_Tg_716.2K.csv,True,C:\Users\Admin\Downloads\cfg data\nn_output\atom_cache\sample_0020.npy
Zr46Cu46Al8,dumpZrCuAl.cooldown_889.cfg,Zr46Cu46Al8_889.0K.cfg,C:\Users\Admin\Downloads\cfg data\cfg_files_Zr46Cu46Al8\dumpZrCuAl.cooldown_889.cfg,C:\Users\Admin\Downloads\cfg data\mapped_cfg_and_metadata\mapped_cfg_Zr46Cu46Al8\Zr46Cu46Al8_889.0K.cfg,889.0,635.36667,1002.03333,-9.439438982162034,interpolated,C:\Users\Admin\Downloads\cfg data\relaxation_time_zr46cu46al8_Tg_716.2K.csv,True,C:\Users\Admin\Downloads\cfg data\nn_output\atom_cache\sample_0021.npy
Zr46Cu46Al8,dumpZrCuAl.cooldown_897.cfg,Zr46Cu46Al8_897.0K.cfg,C:\Users\Admin\Downloads\cfg data\cfg_files_Zr46Cu46Al8\dumpZrCuAl.cooldown_897.cfg,C:\Users\Admin\Downloads\cfg data\mapped_cfg_and_metadata\mapped_cfg_Zr46Cu46Al8\Zr46Cu46Al8_897.0K.cfg,897.0,635.36667,1002.03333,-9.667637487609952,interpolated,C:\Users\Admin\Downloads\cfg data\relaxation_time_zr46cu46al8_Tg_716.2K.csv,True,C:\Users\Admin\Downloads\cfg data\nn_output\atom_cache\sample_0022.npy
Zr46Cu46Al8,dumpZrCuAl.cooldown_906.cfg,Zr46Cu46Al8_906.0K.cfg,C:\Users\Admin\Downloads\cfg data\cfg_files_Zr46Cu46Al8\dumpZrCuAl.cooldown_906.cfg,C:\Users\Admin\Downloads\cfg data\mapped_cfg_and_metadata\mapped_cfg_Zr46Cu46Al8\Zr46Cu46Al8_906.0K.cfg,906.0,635.36667,1002.03333,-9.896380981063924,interpolated,C:\Users\Admin\Downloads\cfg data\relaxation_time_zr46cu46al8_Tg_716.2K.csv,True,C:\Users\Admin\Downloads\cfg data\nn_output\atom_cache\sample_0023.npy
Zr46Cu46Al8,dumpZrCuAl.cooldown_934.cfg,Zr46Cu46Al8_934.0K.cfg,C:\Users\Admin\Downloads\cfg data\cfg_files_Zr46Cu46Al8\dumpZrCuAl.cooldown_934.cfg,C:\Users\Admin\Downloads\cfg data\mapped_cfg_and_metadata\mapped_cfg_Zr46Cu46Al8\Zr46Cu46Al8_934.0K.cfg,934.0,635.36667,1002.03333,-10.418573591712816,interpolated,C:\Users\Admin\Downloads\cfg data\relaxation_time_zr46cu46al8_Tg_716.2K.csv,True,C:\Users\Admin\Downloads\cfg data\nn_output\atom_cache\sample_0024.npy
Zr46Cu46Al8,dumpZrCuAl.cooldown_938.cfg,Zr46Cu46Al8_938.0K.cfg,C:\Users\Admin\Downloads\cfg data\cfg_files_Zr46Cu46Al8\dumpZrCuAl.cooldown_938.cfg,C:\Users\Admin\Downloads\cfg data\mapped_cfg_and_metadata\mapped_cfg_Zr46Cu46Al8\Zr46Cu46Al8_938.0K.cfg,938.0,635.36667,1002.03333,-10.472154218051564,interpolated,C:\Users\Admin\Downloads\cfg data\relaxation_time_zr46cu46al8_Tg_716.2K.csv,True,C:\Users\Admin\Downloads\cfg data\nn_output\atom_cache\sample_0025.npy
Zr46Cu46Al8,dumpZrCuAl.cooldown_940.cfg,Zr46Cu46Al8_940.0K.cfg,C:\Users\Admin\Downloads\cfg data\cfg_files_Zr46Cu46Al8\dumpZrCuAl.cooldown_940.cfg,C:\Users\Admin\Downloads\cfg data\mapped_cfg_and_metadata\mapped_cfg_Zr46Cu46Al8\Zr46Cu46Al8_940.0K.cfg,940.0,635.36667,1002.03333,-10.497372767614465,interpolated,C:\Users\Admin\Downloads\cfg data\relaxation_time_zr46cu46al8_Tg_716.2K.csv,True,C:\Users\Admin\Downloads\cfg data\nn_output\atom_cache\sample_0026.npy
Zr46Cu46Al8,dumpZrCuAl.cooldown_944.cfg,Zr46Cu46Al8_944.0K.cfg,C:\Users\Admin\Downloads\cfg data\cfg_files_Zr46Cu46Al8\dumpZrCuAl.cooldown_944.cfg,C:\Users\Admin\Downloads\cfg data\mapped_cfg_and_metadata\mapped_cfg_Zr46Cu46Al8\Zr46Cu46Al8_944.0K.cfg,944.0,635.36667,1002.03333,-10.544766793246414,interpolated,C:\Users\Admin\Downloads\cfg data\relaxation_time_zr46cu46al8_Tg_716.2K.csv,True,C:\Users\Admin\Downloads\cfg data\nn_output\atom_cache\sample_0027.npy
Zr46Cu46Al8,dumpZrCuAl.cooldown_947.cfg,Zr46Cu46Al8_947.0K.cfg,C:\Users\Admin\Downloads\cfg data\cfg_files_Zr46Cu46Al8\dumpZrCuAl.cooldown_947.cfg,C:\Users\Admin\Downloads\cfg data\mapped_cfg_and_metadata\mapped_cfg_Zr46Cu46Al8\Zr46Cu46Al8_947.0K.cfg,947.0,635.36667,1002.03333,-10.57792723482894,interpolated,C:\Users\Admin\Downloads\cfg data\relaxation_time_zr46cu46al8_Tg_716.2K.csv,True,C:\Users\Admin\Downloads\cfg data\nn_output\atom_cache\sample_0028.npy
Zr46Cu46Al8,dumpZrCuAl.cooldown_974.cfg,Zr46Cu46Al8_974.0K.cfg,C:\Users\Admin\Downloads\cfg data\cfg_files_Zr46Cu46Al8\dumpZrCuAl.cooldown_974.cfg,C:\Users\Admin\Downloads\cfg data\mapped_cfg_and_metadata\mapped_cfg_Zr46Cu46Al8\Zr46Cu46Al8_974.0K.cfg,974.0,635.36667,1002.03333,-10.807814795910408,interpolated,C:\Users\Admin\Downloads\cfg data\relaxation_time_zr46cu46al8_Tg_716.2K.csv,True,C:\Users\Admin\Downloads\cfg data\nn_output\atom_cache\sample_0029.npy
Zr46Cu46Al8,dumpZrCuAl.cooldown_989.cfg,Zr46Cu46Al8_989.0K.cfg,C:\Users\Admin\Downloads\cfg data\cfg_files_Zr46Cu46Al8\dumpZrCuAl.cooldown_989.cfg,C:\Users\Admin\Downloads\cfg data\mapped_cfg_and_metadata\mapped_cfg_Zr46Cu46Al8\Zr46Cu46Al8_989.0K.cfg,989.0,635.36667,1002.03333,-10.902215196529609,interpolated,C:\Users\Admin\Downloads\cfg data\relaxation_time_zr46cu46al8_Tg_716.2K.csv,True,C:\Users\Admin\Downloads\cfg data\nn_output\atom_cache\sample_0030.npy
Zr50Cu40Al10,dumpZrCuAl.cooldown_621.cfg,Zr50Cu40Al10_621.0K.cfg,C:\Users\Admin\Downloads\cfg data\cfg_files_Zr50Cu40Al10\dumpZrCuAl.cooldown_621.cfg,C:\Users\Admin\Downloads\cfg data\mapped_cfg_and_metadata\mapped_cfg_Zr50Cu40Al10\Zr50Cu40Al10_621.0K.cfg,621.0,618.16667,984.83333,15.673249754120494,interpolated,C:\Users\Admin\Downloads\cfg data\relaxation_time_Zr50Cu40Al10_Tg_699K.csv,True,C:\Users\Admin\Downloads\cfg data\nn_output\atom_cache\sample_0031.npy
Zr50Cu40Al10,dumpZrCuAl.cooldown_625.cfg,Zr50Cu40Al10_625.0K.cfg,C:\Users\Admin\Downloads\cfg data\cfg_files_Zr50Cu40Al10\dumpZrCuAl.cooldown_625.cfg,C:\Users\Admin\Downloads\cfg data\mapped_cfg_and_metadata\mapped_cfg_Zr50Cu40Al10\Zr50Cu40Al10_625.0K.cfg,625.0,618.16667,984.83333,14.711243297173414,interpolated,C:\Users\Admin\Downloads\cfg data\relaxation_time_Zr50Cu40Al10_Tg_699K.csv,True,C:\Users\Admin\Downloads\cfg data\nn_output\atom_cache\sample_0032.npy
Zr50Cu40Al10,dumpZrCuAl.cooldown_637.cfg,Zr50Cu40Al10_637.0K.cfg,C:\Users\Admin\Downloads\cfg data\cfg_files_Zr50Cu40Al10\dumpZrCuAl.cooldown_637.cfg,C:\Users\Admin\Downloads\cfg data\mapped_cfg_and_metadata\mapped_cfg_Zr50Cu40Al10\Zr50Cu40Al10_637.0K.cfg,637.0,618.16667,984.83333,12.03928921382157,interpolated,C:\Users\Admin\Downloads\cfg data\relaxation_time_Zr50Cu40Al10_Tg_699K.csv,True,C:\Users\Admin\Downloads\cfg data\nn_output\atom_cache\sample_0033.npy
Zr50Cu40Al10,dumpZrCuAl.cooldown_653.cfg,Zr50Cu40Al10_653.0K.cfg,C:\Users\Admin\Downloads\cfg data\cfg_files_Zr50Cu40Al10\dumpZrCuAl.cooldown_653.cfg,C:\Users\Admin\Downloads\cfg data\mapped_cfg_and_metadata\mapped_cfg_Zr50Cu40Al10\Zr50Cu40Al10_653.0K.cfg,653.0,618.16667,984.83333,8.958666552346887,interpolated,C:\Users\Admin\Downloads\cfg data\relaxation_time_Zr50Cu40Al10_Tg_699K.csv,True,C:\Users\Admin\Downloads\cfg data\nn_output\atom_cache\sample_0034.npy
Zr50Cu40Al10,dumpZrCuAl.cooldown_671.cfg,Zr50Cu40Al10_671.0K.cfg,C:\Users\Admin\Downloads\cfg data\cfg_files_Zr50Cu40Al10\dumpZrCuAl.cooldown_671.cfg,C:\Users\Admin\Downloads\cfg data\mapped_cfg_and_metadata\mapped_cfg_Zr50Cu40Al10\Zr50Cu40Al10_671.0K.cfg,671.0,618.16667,984.83333,5.866059842560317,interpolated,C:\Users\Admin\Downloads\cfg data\relaxation_time_Zr50Cu40Al10_Tg_699K.csv,True,C:\Users\Admin\Downloads\cfg data\nn_output\atom_cache\sample_0035.npy
Zr50Cu40Al10,dumpZrCuAl.cooldown_676.cfg,Zr50Cu40Al10_676.0K.cfg,C:\Users\Admin\Downloads\cfg data\cfg_files_Zr50Cu40Al10\dumpZrCuAl.cooldown_676.cfg,C:\Users\Admin\Downloads\cfg data\mapped_cfg_and_metadata\mapped_cfg_Zr50Cu40Al10\Zr50Cu40Al10_676.0K.cfg,676.0,618.16667,984.83333,5.107508850582301,interpolated,C:\Users\Admin\Downloads\cfg data\relaxation_time_Zr50Cu40Al10_Tg_699K.csv,True,C:\Users\Admin\Downloads\cfg data\nn_output\atom_cache\sample_0036.npy
Zr50Cu40Al10,dumpZrCuAl.cooldown_683.cfg,Zr50Cu40Al10_683.0K.cfg,C:\Users\Admin\Downloads\cfg data\cfg_files_Zr50Cu40Al10\dumpZrCuAl.cooldown_683.cfg,C:\Users\Admin\Downloads\cfg data\mapped_cfg_and_metadata\mapped_cfg_Zr50Cu40Al10\Zr50Cu40Al10_683.0K.cfg,683.0,618.16667,984.83333,4.094457424025146,interpolated,C:\Users\Admin\Downloads\cfg data\relaxation_time_Zr50Cu40Al10_Tg_699K.csv,True,C:\Users\Admin\Downloads\cfg data\nn_output\atom_cache\sample_0037.npy
Zr50Cu40Al10,dumpZrCuAl.cooldown_690.cfg,Zr50Cu40Al10_690.0K.cfg,C:\Users\Admin\Downloads\cfg data\cfg_files_Zr50Cu40Al10\dumpZrCuAl.cooldown_690.cfg,C:\Users\Admin\Downloads\cfg data\mapped_cfg_and_metadata\mapped_cfg_Zr50Cu40Al10\Zr50Cu40Al10_690.0K.cfg,690.0,618.16667,984.83333,3.138672607114791,interpolated,C:\Users\Admin\Downloads\cfg data\relaxation_time_Zr50Cu40Al10_Tg_699K.csv,True,C:\Users\Admin\Downloads\cfg data\nn_output\atom_cache\sample_0038.npy
Zr50Cu40Al10,dumpZrCuAl.cooldown_707.cfg,Zr50Cu40Al10_707.0K.cfg,C:\Users\Admin\Downloads\cfg data\cfg_files_Zr50Cu40Al10\dumpZrCuAl.cooldown_707.cfg,C:\Users\Admin\Downloads\cfg data\mapped_cfg_and_metadata\mapped_cfg_Zr50Cu40Al10\Zr50Cu40Al10_707.0K.cfg,707.0,618.16667,984.83333,1.0431721140357704,interpolated,C:\Users\Admin\Downloads\cfg data\relaxation_time_Zr50Cu40Al10_Tg_699K.csv,True,C:\Users\Admin\Downloads\cfg data\nn_output\atom_cache\sample_0039.npy
Zr50Cu40Al10,dumpZrCuAl.cooldown_725.cfg,Zr50Cu40Al10_725.0K.cfg,C:\Users\Admin\Downloads\cfg data\cfg_files_Zr50Cu40Al10\dumpZrCuAl.cooldown_725.cfg,C:\Users\Admin\Downloads\cfg data\mapped_cfg_and_metadata\mapped_cfg_Zr50Cu40Al10\Zr50Cu40Al10_725.0K.cfg,725.0,618.16667,984.83333,-0.8776832956134046,interpolated,C:\Users\Admin\Downloads\cfg data\relaxation_time_Zr50Cu40Al10_Tg_699K.csv,True,C:\Users\Admin\Downloads\cfg data\nn_output\atom_cache\sample_0040.npy
Zr50Cu40Al10,dumpZrCuAl.cooldown_730.cfg,Zr50Cu40Al10_730.0K.cfg,C:\Users\Admin\Downloads\cfg data\cfg_files_Zr50Cu40Al10\dumpZrCuAl.cooldown_730.cfg,C:\Users\Admin\Downloads\cfg data\mapped_cfg_and_metadata\mapped_cfg_Zr50Cu40Al10\Zr50Cu40Al10_730.0K.cfg,730.0,618.16667,984.83333,-1.3630952837694283,interpolated,C:\Users\Admin\Downloads\cfg data\relaxation_time_Zr50Cu40Al10_Tg_699K.csv,True,C:\Users\Admin\Downloads\cfg data\nn_output\atom_cache\sample_0041.npy
Zr50Cu40Al10,dumpZrCuAl.cooldown_741.cfg,Zr50Cu40Al10_741.0K.cfg,C:\Users\Admin\Downloads\cfg data\cfg_files_Zr50Cu40Al10\dumpZrCuAl.cooldown_741.cfg,C:\Users\Admin\Downloads\cfg data\mapped_cfg_and_metadata\mapped_cfg_Zr50Cu40Al10\Zr50Cu40Al10_741.0K.cfg,741.0,618.16667,984.83333,-2.3597250869698247,interpolated,C:\Users\Admin\Downloads\cfg data\relaxation_time_Zr50Cu40Al10_Tg_699K.csv,True,C:\Users\Admin\Downloads\cfg data\nn_output\atom_cache\sample_0042.npy
Zr50Cu40Al10,dumpZrCuAl.cooldown_752.cfg,Zr50Cu40Al10_752.0K.cfg,C:\Users\Admin\Downloads\cfg data\cfg_files_Zr50Cu40Al10\dumpZrCuAl.cooldown_752.cfg,C:\Users\Admin\Downloads\cfg data\mapped_cfg_and_metadata\mapped_cfg_Zr50Cu40Al10\Zr50Cu40Al10_752.0K.cfg,752.0,618.16667,984.83333,-3.2764099247601512,interpolated,C:\Users\Admin\Downloads\cfg data\relaxation_time_Zr50Cu40Al10_Tg_699K.csv,True,C:\Users\Admin\Downloads\cfg data\nn_output\atom_cache\sample_0043.npy
Zr50Cu40Al10,dumpZrCuAl.cooldown_771.cfg,Zr50Cu40Al10_771.0K.cfg,C:\Users\Admin\Downloads\cfg data\cfg_files_Zr50Cu40Al10\dumpZrCuAl.cooldown_771.cfg,C:\Users\Admin\Downloads\cfg data\mapped_cfg_and_metadata\mapped_cfg_Zr50Cu40Al10\Zr50Cu40Al10_771.0K.cfg,771.0,618.16667,984.83333,-4.680993068573862,interpolated,C:\Users\Admin\Downloads\cfg data\relaxation_time_Zr50Cu40Al10_Tg_699K.csv,True,C:\Users\Admin\Downloads\cfg data\nn_output\atom_cache\sample_0044.npy
